hhid14_9,age,marstat,sex,pidlink,dl01f,dl06,sw00,sw01,sw03,tk01a,tr11,kk01,kr03,female,fo01
308024300,30,2,1,308024303,,1,NA,NA,NA,1,NA,3,1,0,NA
308030000,51,5,3,308030002,E,1,3,4,4,1,3,2,1,1,0
308030003,28,2,1,308030003,E,3,3,3,5,1,3,3,1,0,2
308030000,20,1,1,308030004,E,4,3,3,4,1,2,3,1,0,1
308030003,26,2,3,308035102,E,3,3,4,5,0,2,2,1,1,1
308040000,68,2,1,308040001,E L,1,4,3,4,0,3,2,1,0,1
308040000,53,2,3,308040002,E L,2,4,3,4,0,3,3,1,1,1
308040003,36,2,1,308040003,,4,NA,NA,NA,1,NA,3,1,0,NA
308040004,34,2,1,308040004,L,3,4,3,3,1,4,3,0,0,0
308040000,18,1,1,308040007,E L,3,3,3,5,0,3,3,1,0,2
308040003,31,2,3,308045103,L,4,4,4,5,0,3,2,1,1,1
308040004,30,2,3,308045202,L,4,4,4,5,1,4,3,0,1,1
308050000,87,2,1,308050001,,0,NA,NA,NA,0,NA,2,1,0,NA
308050000,86,2,3,308050002,L,NA,3,NA,NA,0,3,2,1,1,NA
308050000,55,1,1,308050004,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
308050000,53,1,1,308050005,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
308054100,53,2,1,308050006,L,NA,3,1,2,1,3,3,1,0,1
308054100,56,2,3,308054102,L,1,4,2,5,1,3,4,1,1,3
308054100,23,1,1,308054106,L,1,2,3,4,1,3,4,1,0,1
308060000,61,2,1,308060001,E,4,3,3,2,1,3,2,1,0,-1
308060000,49,2,3,308060002,B,2,3,3,3,0,3,3,1,1,0
308060003,29,2,3,308060003,E,4,4,4,5,1,3,3,1,1,1
308060000,25,1,1,308060004,E,4,3,3,5,0,3,4,1,0,2
308060000,23,1,1,308060005,E,4,4,4,5,0,3,3,1,0,1
308064100,32,2,3,308060006,E,4,4,4,4,1,3,3,1,1,0
308064100,30,2,1,308064101,E,1,4,2,3,1,4,4,1,0,1
308060003,38,2,1,308065101,,4,NA,NA,NA,1,NA,3,1,0,NA
308070000,54,4,3,308070002,L,1,3,2,3,0,3,3,1,1,1
308074200,32,2,3,308070003,L,1,5,4,5,0,4,2,1,1,1
308070000,28,2,3,308070004,L,3,2,2,3,1,4,3,1,1,1
308070005,26,2,1,308070005,L,1,2,2,4,1,3,3,1,0,2
308074100,22,1,1,308070006,L,1,5,2,3,1,2,3,1,0,1
308070000,28,2,1,308070008,,2,NA,NA,NA,1,NA,3,1,0,NA
308074100,46,5,3,308074102,,NA,NA,NA,NA,1,NA,3,1,1,NA
308074100,15,1,3,308074106,E,1,4,1,1,0,4,4,1,1,0
308074200,36,2,1,308074201,L,1,2,2,2,1,4,2,1,0,0
308070005,21,2,3,308075105,L,2,3,3,5,1,3,3,1,1,2
308080000,58,5,3,308080002,E,2,3,3,4,1,3,2,1,1,1
308084100,31,2,3,308080004,E,3,3,2,3,0,3,3,1,1,1
308080005,27,2,3,308080005,L,4,4,3,4,0,3,3,0,1,1
308080000,26,2,3,308080006,E,2,4,4,5,1,2,3,1,1,1
308080007,41,2,1,308080007,E,4,3,2,3,1,4,3,1,0,1
308080007,36,2,3,308080008,E,4,3,4,5,0,4,3,1,1,1
308080000,33,2,1,308080010,V,2,3,4,4,1,3,3,1,0,0
308084100,35,2,1,308084101,,1,NA,NA,NA,1,NA,4,1,0,NA
308080005,28,2,1,308085101,,3,NA,NA,NA,1,NA,4,0,0,NA
308090000,88,5,3,308090002,,1,NA,NA,NA,0,NA,3,1,1,NA
308093100,39,2,1,308090003,E L,1,4,3,4,1,3,2,1,0,1
308090000,50,2,1,308090004,E,3,3,4,3,1,4,3,1,0,-1
308090000,52,2,3,308090005,E,4,3,4,NA,0,4,4,1,1,NA
308090000,25,1,3,308090006,E,4,3,4,4,1,2,2,1,1,0
308090000,16,1,3,308090007,E,3,4,3,3,0,3,3,1,1,0
308093100,34,2,3,308093102,E V,1,2,4,5,0,4,3,1,1,1
308100000,57,2,1,308100001,E,2,5,3,5,1,2,2,1,0,2
308100000,40,2,3,308100002,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
308100000,21,2,1,308100003,E,3,3,3,2,0,2,4,1,0,-1
308104100,35,2,1,308100004,E,3,4,2,3,1,3,4,1,0,1
308101100,34,2,3,308100005,E,2,3,3,4,1,3,3,1,1,1
308103100,29,2,3,308100006,E,2,5,3,4,1,3,4,0,1,1
308100000,20,2,1,308100007,E,3,4,2,2,1,3,3,1,0,0
308100000,18,2,3,308100008,E,3,3,3,4,0,3,3,1,1,1
308100000,21,2,3,308100011,E,3,4,3,6,0,3,2,1,1,3
308100000,18,2,3,308100012,H,3,2,3,5,0,2,3,1,1,2
308100000,18,2,1,308100013,E,3,3,3,3,1,1,2,1,0,0
308101100,46,2,1,308101101,E,3,3,3,3,1,3,3,1,0,0
308101100,17,1,3,308101103,E,3,3,3,4,0,2,4,1,1,1
308101100,15,1,1,308101104,E,2,5,3,4,0,2,3,1,0,1
308103100,32,2,1,308103101,E,1,4,2,2,1,4,3,0,0,0
308104100,33,2,3,308104102,,3,NA,NA,NA,0,NA,4,1,1,NA
308113100,25,2,1,308113103,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
308113100,23,2,3,308113104,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
308113100,25,2,3,308113114,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
308120006,19,2,3,308120006,E,2,1,2,3,1,2,3,0,1,1
308120000,40,1,1,308120008,,3,NA,NA,NA,0,NA,4,1,0,NA
308120000,35,2,3,308120009,E,1,3,4,6,1,3,3,1,1,2
308120000,37,2,1,308120011,,1,NA,NA,NA,1,NA,2,1,0,NA
308130000,64,5,3,308130002,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
308130000,39,2,3,308130003,E,3,4,3,3,1,3,3,1,1,0
308134100,36,2,3,308130004,E,4,4,4,6,1,3,3,1,1,2
